tag,first_seen_at,example_text
textura_plato,2026-02-22T21:05:27.526575+00:00,La causa limeña estaba muy suave.
sillas,2026-02-22T21:05:27.526575+00:00,Las sillas son muy cómodas.
entrega_platos,2026-02-22T21:05:27.526575+00:00,"Que traigan todo junto, mi esposa comió primero."
organizacion_servicio,2026-02-22T21:05:27.526575+00:00,Desorganizada.
limpieza_banos,2026-02-22T21:05:27.526575+00:00,La limpieza de los baños es buena.
orden_platos,2026-02-22T21:05:27.526575+00:00,El orden en que sacan los platos.
chicha_morada,2026-02-22T21:05:27.526575+00:00,"La chicha morada, heladita y natural."
vista_calle,2026-02-22T21:05:27.526575+00:00,Tiene buena vista a la calle.
limpieza_mesa,2026-02-22T21:05:27.526575+00:00,La limpieza de la mesa antes de sentarnos.
aseo_local,2026-02-22T21:05:27.526575+00:00,Mejorar el aseo general del local.
conocimiento_vinos,2026-02-22T21:05:27.526575+00:00,Capacitar en vinos para maridar.
conocimiento_carta,2026-02-22T21:05:27.526575+00:00,"Buena, pero les falta conocimiento de la carta."
ambiente_familiar,2026-02-22T21:05:27.526575+00:00,El ambiente familiar.
cafe_temperatura,2026-02-22T21:05:27.526575+00:00,Servir el café caliente.
ventilacion,2026-02-22T21:05:27.526575+00:00,Poner más ventiladores.
tiempo_en_mesa,2026-02-22T21:05:27.526575+00:00,Que dejen conversar tranquilos después de comer.
administrador,2026-02-22T21:05:27.526575+00:00,La actitud del administrador.
gerente,2026-02-22T21:05:27.526575+00:00,"El mozo bien, el gerente muy prepotente ante un reclamo."
decoracion,2026-02-22T21:05:27.526575+00:00,La decoración rústica.
manejo_quejas,2026-02-22T21:05:27.526575+00:00,El trato ante las quejas.
manejo_alergias,2026-02-22T21:05:27.526575+00:00,"Atentos a mis alergias, me dio mucha seguridad."
adaptacion_plato,2026-02-22T21:05:27.526575+00:00,Pudieron adaptarme el ceviche sin ají.
tranquilidad,2026-02-22T21:05:27.526575+00:00,"Excelente, lo vale por la tranquilidad."
pisco_sour,2026-02-22T21:05:27.526575+00:00,El pisco sour estaba en su punto.
opciones_ninos,2026-02-22T21:05:27.526575+00:00,Que ofrezcan opciones para niños activamente.
accesibilidad,2026-02-22T21:05:27.526575+00:00,Las áreas amplias para que entren las sillas de ruedas.
menu_infantil,2026-02-22T21:05:27.526575+00:00,Tener un menú infantil físico.
servicio_agua,2026-02-22T21:05:27.526575+00:00,Servir el agua sin pedirla.
ubicacion,2026-02-22T21:05:27.526575+00:00,Es un lugar céntrico.
limpieza_cubiertos,2026-02-22T21:05:27.526575+00:00,La limpieza de los cubiertos.
atencion_general,2026-02-22T21:05:27.526575+00:00,"Nada, excelente."
tematica_andina,2026-02-22T21:05:27.526575+00:00,La temática andina.
explicacion_ingredientes,2026-02-22T21:05:27.526575+00:00,Que expliquen los ingredientes.
conocimiento_alergias,2026-02-22T21:05:27.526575+00:00,Capacitar al personal sobre alergias.
olor,2026-02-22T21:05:27.526575+00:00,Aroma a leña increíble.
estafa_precio,2026-02-22T21:05:27.526575+00:00,"Mala experiencia, sentí que me estafaban."
empatia,2026-02-22T21:05:27.526575+00:00,Mayor empatía.
bebidas,2026-02-22T21:05:27.526575+00:00,Entregar las bebidas frías.
punto_coccion_carne,2026-02-22T21:05:27.526575+00:00,"El sabor estaba bien, pero la carne muy hecha."
baños,2026-02-22T21:05:27.526575+00:00,Bonitos baños.
personalizacion_comida,2026-02-22T21:05:27.526575+00:00,Preguntar detalles de la comida al cliente.
tallarin_saltado,2026-02-22T21:05:27.526575+00:00,El tallarín saltado.
limpieza,2026-02-22T21:05:27.526575+00:00,Lugar muy limpio.
profesionalismo,2026-02-22T21:05:27.526575+00:00,Más profesionalismo.
llamadas,2026-02-22T21:05:27.526575+00:00,Atender las llamadas.
delivery,2026-02-22T21:05:27.526575+00:00,"Nunca contestan para pedir delivery, en salón bien."
atencion_en_salon,2026-02-22T21:05:27.526575+00:00,"Nunca contestan para pedir delivery, en salón bien."
servicio_telefonico,2026-02-22T21:05:27.526575+00:00,El servicio telefónico.
retiro_platos,2026-02-22T21:05:27.526575+00:00,Que no retiren los platos antes de terminar.
vista,2026-02-22T21:05:27.526575+00:00,Buena vista.
labor_venta,2026-02-22T21:05:27.526575+00:00,Mejor labor de venta.
pan_con_chicharron,2026-02-22T21:05:27.526575+00:00,El pan con chicharrón.
calidad,2026-02-22T21:05:27.526575+00:00,Excelente calidad.
wifi,2026-02-22T21:05:27.526575+00:00,Mejorar el wifi.
servicio_general,2026-02-22T21:05:27.526575+00:00,Buena atención.
internet,2026-02-22T21:05:27.526575+00:00,"El internet, venía a una reunión."
parqueo,2026-02-22T21:05:27.526575+00:00,No hay parqueo.
valet_parking,2026-02-22T21:05:27.526575+00:00,El servicio de valet parking o estacionamiento.
disponibilidad_platos,2026-02-22T21:05:27.526575+00:00,"Queríamos un plato y no había, luego otro y tampoco."
control_inventario,2026-02-22T21:05:27.526575+00:00,El control de inventario.
opciones_vegetarianas,2026-02-22T21:05:27.526575+00:00,Pondría más opciones vegetarianas.
ensalada,2026-02-22T21:05:27.526575+00:00,La ensalada fresca.
chupe,2026-02-22T21:05:27.526575+00:00,El chupe.
metodos_pago,2026-02-22T21:05:27.526575+00:00,Actualizar los métodos de pago (Yape/Plin).
calidad_servicio,2026-02-22T21:05:27.526575+00:00,Normal.
aire_acondicionado,2026-02-22T21:05:27.526575+00:00,Mejorar el aire acondicionado.
atencion,2026-02-22T21:05:27.526575+00:00,Perfecto.
